S.N.,Winter_Trend,PreMonsoon_Alpha,PreMonsoon_Trend,Monsoon_Alpha,Monsoon_Trend,PostMonsoon_Alpha,PostMonsoon_Trend,Annual_Alpha,Glaciers Number,Glaciers Area (sq. km),Glacial Lakes Number,Glacier_Lake_Ratio,Total_Trend_Magnitude,High_Monsoon_Trend,Cluster
-0.9700346813761588,-0.8447692302111515,0,-0.2777588773208396,0,-0.7975546605471586,0,-1.2065537521981358,+,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.382117521423203,0,1.0
-0.92384255369158,-0.3557560850664674,0,-0.0791119204466201,0,-0.4867642170076711,0,-0.287858001793464,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.297984865811333,0,3.0
-0.8776504260070009,-0.8936705447256199,+,1.6296038837260294,0,1.175813786781238,0,0.2097688630090665,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,3.3968021287771046,1,3.0
-0.8314582983224219,-1.1870784318124303,+,-1.9177685354583196,**,-1.6092306732862085,0,0.0183739150080933,**,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,4.533928674442991,0,3.0
-0.785266170637843,0.0843557455637483,0,-0.6509897217845376,0,0.4486244965577767,0,1.2433015822143223,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,0.8456893675685584,1,0.0
-0.739074042953264,1.502493866483332,0,-0.631307996317036,0,1.1365878084704288,0,0.4777217902104292,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,3.401059730084434,1,0.0
-0.6928819152686849,-0.8447692302111515,0,-0.961115959998856,0,-0.3268429208174494,0,0.0183739150080933,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,1.7801203099543783,0,1.0
-0.646689787584106,0.8178754632807743,0,0.9781174676213352,0,1.718942717238595,0,-1.053437793797357,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,4.117505021298372,1,1.0
-0.600497659899527,2.578322785801637,*,-1.6458932513696565,0,0.0322256498738031,0,1.855765415817437,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,2.6776252275664225,1,0.0
-0.5543055322149479,-0.8936705447256199,0,0.4262823614603351,*,-2.1734812843724627,0,-0.5558109289948264,*,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,5.282082638115361,0,3.0
-0.508113404530369,0.5733688907084323,0,-0.7079637605100654,0,-0.0130350943309765,0,-0.7472058769957999,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.089453619046035,1,0.0
-0.46192127684579,-0.1112495124941253,+,1.7936439052788289,0,0.0261908839798325,0,0.8605116862123758,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,0.7821750735318879,1,3.0
-0.4157291491612109,0.5244675761939639,0,-0.8739624865516632,0,0.1800774142760836,0,1.4346965302152956,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,0.8129924616630719,1,0.0
-0.369537021476632,2.431618842258232,0,0.4488932673567042,0,1.0068403417500602,0,0.8987906758125705,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,4.586775895699337,1,0.0
-0.323344893792053,-2.2629073511307354,0,-1.017971647999985,0,0.0714516281846122,0,0.7839537070119865,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,2.5490546683841986,1,0.0
-0.2771527661074739,2.2849148987148267,0,0.3167558670728146,0,1.2844395728727094,0,0.7456747174117918,0,-2.699039644382881,-2.916354440399337,-1.7100644900389816,3.9636329412666553,5.17955966946164,1,2.0
-0.230960638422895,1.013480721338648,0,0.688245772380608,0,-0.4716773022727446,0,-0.5175319393946317,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,1.7895125880184095,0,1.0
-0.184768510738316,-0.4046573995809358,0,-1.732537816701935,+,-2.2006377308953304,0,-3.235340201008453,*,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,5.304527076494184,0,1.0
-0.1385763830537369,-0.0134468834651885,0,0.4106245606223889,0,0.3399987104663054,0,0.286326842209456,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,0.8704355027894244,1,3.0
-0.092384255369158,-0.3557560850664674,0,-0.1538338338029749,0,-0.6466855131978928,0,1.0519066342133492,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.3787760780153762,0,3.0
-0.046192127684579,-0.6491639721532778,0,0.7645168967193415,0,-0.4958163658486271,0,-0.5175319393946317,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.672587673418766,0,3.0
0.0,0.6630196706078072,0,0.1412026870505109,0,-1.401031249944222,0,0.8222326966121812,+,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,3.085397305374664,0,3.0
0.046192127684579,-0.0587295007055862,0,-1.0659747018160923,0,-1.1143798699806169,0,-1.168274762597941,+,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.5873789780725938,0,1.0
0.092384255369158,-0.302258046987639,*,1.5022360176354068,0,0.7624323230442497,0,-0.1730210329928799,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,2.044150394843121,1,3.0
0.1385763830537369,-0.5652493164464502,0,-0.0244883271076503,0,-1.1053277211396608,0,0.056652904608288,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.738453804028137,0,1.0
0.184768510738316,1.261816266837473,+,-0.935788904977537,**,-0.7432417675014229,+,-0.2495790121932693,**,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.7498071506462543,0,1.0
0.230960638422895,-0.0990241838655082,*,2.259680653787001,0,-0.112608731581492,0,-0.4409739601942423,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,0.4802121099619617,0,3.0
0.2771527661074739,1.2525543578684326,0,-0.8411083254585878,0,-0.2574431130367871,0,1.7792074366170476,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.7274022621927994,0,0.0
