country_name,country_iso3,year,indicator_name,indicator_code,value
Nepal,NPL,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.456844
Nepal,NPL,1967,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,22.480000
Nepal,NPL,1967,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1967,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,29.070000
Nepal,NPL,1967,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.181818
Nepal,NPL,1967,Rural population (% of total population),SP.RUR.TOTL.ZS,96.177000
Nepal,NPL,1967,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.071520
Nepal,NPL,1967,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.944056
Nepal,NPL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,35670.000000
Nepal,NPL,1968,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,67.391604
Nepal,NPL,1968,Arable land (% of land area),AG.LND.ARBL.ZS,12.720280
Nepal,NPL,1968,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.152777
Nepal,NPL,1968,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1968,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1724.000000
Nepal,NPL,1968,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,21.540000
Nepal,NPL,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.687191
Nepal,NPL,1968,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,23.080000
Nepal,NPL,1968,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1968,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,29.890000
Nepal,NPL,1968,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.181818
Nepal,NPL,1968,Rural population (% of total population),SP.RUR.TOTL.ZS,96.133000
Nepal,NPL,1968,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.106793
Nepal,NPL,1968,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.944056
Nepal,NPL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,35670.000000
Nepal,NPL,1969,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,66.424547
Nepal,NPL,1969,Arable land (% of land area),AG.LND.ARBL.ZS,12.720280
Nepal,NPL,1969,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.149502
Nepal,NPL,1969,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1969,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1750.900000
Nepal,NPL,1969,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,22.290000
Nepal,NPL,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.476636
Nepal,NPL,1969,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,23.870000
Nepal,NPL,1969,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1969,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,30.750000
